Oil	Hardness	Cleansing	Condition	Bubbly	Creamy	Iodine	INS	SAP_KOH	SAP_Value
Almond Butter	25	1	74	1	24	70	118	0.188	0.134
Almond Oil	7	0	89	0	7	99	97	0.195	0.139
Aloe Butter	0	0	0	0	0	0	249	0.24	0.171
Apricot Kernel Oil	6	0	93	0	6	100	91	0.195	0.139
Argan Oil	15	1	81	1	14	95	95	0.191	0.136
Avocado butter	31	0	61	0	31	67	120	0.187	0.133
Avocado oil	22	0	70	0	22	86	99	0.186	0.133
Babassu oil	85	70	10	70	15	15	230	0.245	0.175
Baobab oil	29	1	67	1	28	75	125	0.2	0.143
Beeswax	0	0	0	0	0	10	84	0.094	0.067
Black cumin seed oil	16	0	83	0	16	133	62	0.195	0.139
Borage oil	14	0	68	0	14	135	55	0.19	0.135
Camellia seed oil	8	0	88	0	8	144	44	0.188	0.134
"Canola oil, high oleic"	6	0	90	0	6	96	90	0.186	0.133
"Canola oil, rapeseed"	6	0	91	0	6	110	56	0.186	0.133
Capuaca butter	42	0	44	0	42	38	155	0.21	0.14
Castor oil	0	0	98	90	90	86	95	0.18	0.128
Cherry kernel oil avium	11	0	87	0	11	128	62	0.19	0.135
Chicken fat	33	1	59	1	32	69	130	0.195	0.139
Cocoa butter	61	0	38	0	61	37	157	0.194	0.138
Coconut oil 76 degree	79	67	10	67	12	10	258	0.257	0.183
"Coconut oil, fractionated"	93	93	0	93	0	1	324	0.325	0.232
"Coffee bean oil, green"	46	0	50	0	46	85	100	0.185	0.132
"Coffee bean oil, roasted"	40	0	48	0	40	87	93	0.18	0.128
Cohune oil	75	64	21	64	11	30	175	0.205	0.146
Corn oil	14	0	84	0	14	117	69	0.192	0.137
Cottonseed oil	26	0	71	0	26	108	89	0.194	0.138
Cranberry seed oil	8	0	92	0	8	150	40	0.19	0.135
"Crisco, new with palm"	25	0	74	0	25	111	82	0.193	0.138
"Crisco, old"	26	0	70	0	26	93	115	0.192	0.137
Emu oil	32	0	55	0	32	60	128	0.19	0.135
Evening primrose oil	0	0	89	0	0	160	30	0.19	0.135
"Flax oil, linseed"	9	0	90	0	9	180	-6	0.19	0.135
"Ghee, any bovine"	55	15	22	15	40	30	191	0.227	0.162
Grapeseed oil	12	0	88	0	12	131	66	0.181	0.129
Hazelnut oil	8	0	85	0	8	97	94	0.195	0.139
Hemp oil	8	0	90	0	8	165	39	0.193	0.138
Horse oil	34	3	49	3	31	79	117	0.196	0.14
Illipe butter	62	0	35	0	62	33	152	0.185	0.132
Jatropha oil	16	0	78	0	16	102	91	0.193	0.138
Jojoba liquid wax ester	0	0	12	0	0	83	11	0.092	0.066
Karanja oil	12	0	73	0	12	85	98	0.183	0.13
Kokum butter	60	0	37	0	60	35	155	0.19	0.135
Kpangnan butter	50	0	50	0	50	42	149	0.191	0.136
Kukui nut oil	8	0	91	0	8	168	24	0.189	0.135
Lanolin liquid wax	0	0	0	0	0	27	83	0.106	0.076
"Lard, pig tallow"	42	1	52	1	41	57	139	0.198	0.141
"Linseed oil, flax"	9	0	90	0	9	180	-6	0.19	0.135
Macadamina nut oil	14	0	61	0	14	76	119	0.195	0.139
Mango seed butter	49	0	48	0	49	45	146	0.191	0.136
Mango seed oil	35	0	61	0	35	60	130	0.19	0.135
Marula Oil	18	0	79	0	18	73	119	0.192	0.137
Meadowfarm oil	0	5	95	0	0	92	77	0.169	0.12
"Milk fat, any bovine"	55	15	22	15	40	30	191	0.227	0.162
Mink oil	0	0	0	0	0	55	141	0.196	0.14
Monoi de Tahiti oil	73	60	2	60	13	9	246	0.255	0.182
Moringa oil	14	0	73	0	14	68	124	0.192	0.137
Mowrah butter	46	0	51	0	46	62	132	0.194	0.138
Murumuru buttter	82	73	18	73	9	25	250	0.275	0.196
"Mustard oil, kachi gha"	4	0	41	0	4	101	72	0.173	0.123
Myrstic acid	99	99	0	99	0	1	246	0.247	0.176
Neem tree oil	33	0	63	0	33	89	124	0.193	0.138
Oleic acid	0	0	99	0	0	92	110	0.202	0.144
Olive oil	17	0	82	0	17	85	105	0.19	0.135
Olive oil pomace	17	0	83	0	17	84	104	0.188	0.134
Ostrich oil	36	4	57	4	32	97	128	0.1946	0.139
Palm kernel oil flakes	70	61	18	61	9	20	183	0.247	0.176
Palm oil	50	1	49	1	49	53	145	0.199	0.142
Palm stearin	67	2	33	2	65	48	151	0.199	0.142
Palmitic acid	98	0	0	0	98	2	213	0.215	0.153
Passion fruit seed oil	13	0	86	0	13	136	47	0.183	0.13
Peach kernel oil	8	0	91	0	8	108	87	0.191	0.136
Peanut oil	11	0	82	0	11	92	99	0.192	0.137
Perilla seed oil	8	0	87	0	8	196	-6	0.19	0.135
Pine tar	0	0	0	0	0	0	0	0.06	0.043
Pistachio oil	12	0	88	0	12	95	92	0.186	0.133
Plum kernel oil	3	0	91	0	3	98	96	0.194	0.138
Poppy seed oil	12	0	88	0	12	140	54	0.194	0.138
"Pumpkin seed oil, virgin"	19	0	83	0	19	128	67	0.195	0.139
Rapeseed oil	4	0	35	0	4	108	56	0.175	0.125
Red palm butter	50	1	49	1	49	53	145	0.199	0.142
Rice bran oil	26	1	69	1	25	110	70	0.187	0.133
Rose hip oil	6	0	89	0	6	188	10	0.187	0.133
Safflower oil	7	0	90	0	7	145	47	0.192	0.137
Safflower oil high oleic	7	0	92	0	7	93	97	0.19	0.135
Sal butter	50	0	42	0	50	39	146	0.185	0.132
Saw palmetto extract	50	40	40	40	10	45	185	0.23	0.164
Sesame oil	15	0	83	0	15	110	81	0.188	0.134
Shea butter	45	0	54	0	45	59	116	0.179	0.128
"Shea oil, fractionated"	16	0	84	0	16	83	102	0.185	0.132
Soybean oil	16	0	82	0	16	131	61	0.191	0.136
"Soybean, 27.5% hydro"	24	0	49	0	24	78	113	0.191	0.136
Stearic acid	99	0	0	0	99	2	196	0.198	0.141
Sunflower oil	11	0	87	0	11	133	63	0.189	0.135
"Sunflower oil, high oleic"	7	0	88	0	7	83	106	0.189	0.135
Tallow bear	12	2	79	2	10	92	100	0.1946	0.139
