Oil	Lauric	Myristic	Palmitic	Stearic	Oleic	Linoleic	Linolenic	Ricinoleic
Almond Butter	0	1	9	15	58	16	0	0
Almond Oil	0	0	7	0	71	18	0	0
Aloe Butter	45	18	8	3	7	2	0	0
Apricot Kernel Oil	0	0	6	0	66	27	0	0
Argan Oil	0	1	14	0	46	34	1	0
Avocado butter	0	0	21	10	53	6	2	0
Avocado oil	0	0	20	2	58	12	0	0
Babassu oil	50	20	11	4	10	0	0	0
Baobab oil	0	1	24	4	37	28	2	0
Beeswax	0	0	0	0	0	0	0	0
Black cumin seed oil	0	0	13	3	22	60	1	0
Borage oil	0	0	10	4	20	43	5	0
Camellia seed oil	0	0	6	2	24	19	45	0
"Canola oil, high oleic"	0	0	4	2	74	12	4	0
"Canola oil, rapeseed"	0	0	4	2	61	21	9	0
Capuaca butter	0	0	8	35	42	2	0	0
Castor oil	0	0	0	0	4	4	0	90
Cherry kernel oil avium	0	0	8	3	31	45	11	0
Chicken fat	0	1	25	7	38	21	0	0
Cocoa butter	0	0	28	33	35	3	0	0
Coconut oil 76 degree	48	19	9	3	8	2	0	0
"Coconut oil, fractionated"	2	1	0	0	0	0	0	0
"Coffee bean oil, green"	0	0	38	8	9	39	2	0
"Coffee bean oil, roasted"	0	0	40	0	8	38	2	0
Cohune oil	51	13	8	3	18	3	0	0
Corn oil	0	0	12	2	32	51	1	0
Cottonseed oil	0	0	13	13	18	52	1	0
Cranberry seed oil	0	0	6	2	23	37	32	0
"Crisco, new with palm"	0	0	20	5	28	40	6	0
"Crisco, old"	0	0	13	13	18	52	0	0
Emu oil	0	0	23	9	47	8	0	0
Evening primrose oil	0	0	0	0	0	80	9	0
"Flax oil, linseed"	0	0	6	3	27	13	50	0
"Ghee, any bovine"	4	11	28	12	19	2	1	0
Grapeseed oil	0	0	8	4	20	68	0	0
Hazelnut oil	0	0	5	3	75	10	0	0
Hemp oil	0	0	6	2	12	57	21	0
Horse oil	0	3	26	5	10	20	19	0
Illipe butter	0	0	17	45	35	0	0	0
Jatropha oil	0	0	9	7	44	34	0	0
Jojoba liquid wax ester	0	0	0	0	12	0	0	0
Karanja oil	0	0	6	6	58	15	0	0
Kokum butter	0	0	4	56	36	1	0	0
Kpangnan butter	0	0	6	44	49	1	0	0
Kukui nut oil	0	0	6	2	20	42	29	0
Lanolin liquid wax	0	0	0	0	0	0	0	0
"Lard, pig tallow"	99	1	0	0	0	0	0	0
"Linseed oil, flax"	0	1	6	12	56	3	1	0
Macadamina nut oil	0	1	37	3	49	11	1	0
Mango seed butter	0	0	7	42	45	3	0	0
Mango seed oil	0	0	8	27	52	8	1	0
Marula Oil	0	0	11	7	75	4	0	0
Meadowfarm oil	0	0	0	0	0	0	0	0
"Milk fat, any bovine"	0	0	7	2	26	64	0	0
Mink oil	0	0	0	0	0	0	0	0
Monoi de Tahiti oil	44	16	10	3	0	2	0	0
Moringa oil	0	0	7	7	71	2	0	0
Mowrah butter	0	0	24	22	36	15	0	0
Murumuru buttter	47	26	6	3	15	3	0	0
"Mustard oil, kachi gha"	0	0	2	2	18	14	9	0
Myrstic acid	0	0	0	0	0	0	0	0
Neem tree oil	0	0	15	2	40	39	0	0
Oleic acid	0	0	0	0	99	0	0	0
Olive oil	0	0	14	3	69	12	1	0
Olive oil pomace	0	0	14	3	69	12	2	0
Ostrich oil	49	16	8	2	15	3	0	0
Palm kernel oil flakes	49	17	8	16	4	0	0	0
Palm oil	0	1	44	5	39	10	0	0
Palm stearin	0	2	60	5	26	7	0	0
Palmitic acid	0	0	13	5	76	3	0	0
Passion fruit seed oil	0	0	13	4	78	3	1	0
Peach kernel oil	0	0	6	2	65	25	1	0
Peanut oil	0	0	7	2	50	39	2	0
Perilla seed oil	0	0	6	2	15	16	56	0
Pine tar	0	0	0	0	0	0	0	0
Pistachio oil	0	0	11	1	63	25	0	0
Plum kernel oil	0	0	3	3	7	7	78	0
Poppy seed oil	0	0	10	2	17	69	2	0
"Pumpkin seed oil, virgin"	0	0	4	1	17	13	9	0
Rapeseed oil	0	0	3	0	13	55	26	0
Red palm butter	0	1	44	5	39	10	0	0
Rice bran oil	0	1	22	3	38	34	2	0
Rose hip oil	0	0	4	3	10	35	48	0
Safflower oil	0	0	7	0	15	75	0	0
Safflower oil high oleic	0	0	5	2	77	15	0	0
Sal butter	0	5	19	3	23	2	1	0
Saw palmetto extract	0	0	30	1	28	10	0	0
Sesame oil	0	0	10	5	40	43	0	0
Shea butter	0	0	5	40	48	6	0	0
"Shea oil, fractionated"	13	5	20	3	45	10	0	0
Soybean oil	0	0	11	5	24	50	8	0
"Soybean, 27.5% hydro"	0	0	11	87	0	0	0	0
Stearic acid	0	0	0	99	0	0	0	0
Sunflower oil	0	0	7	4	16	70	1	0
"Sunflower oil, high oleic"	0	0	3	4	83	4	1	0
Tallow bear	0	2	7	3	70	9	0	0
Tallow beef	2	6	28	22	36	3	1	0
Tallow deer	5	11	23	30	29	2	0	0
Tallow sheep	4	10	24	13	26	5	0	0
"Tamanu oil, kamani"	0	0	12	13	34	38	1	0
Tucuma seed butter	48	23	6	0	13	0	0	0
Ucuuba butter	18	74	8	0	0	0	0	0
Walmart GV shortening	1	4	35	14	37	6	1	0
Walnut oil	0	0	11	10	18	60	1	0
Wheat germ oil	0	0	17	2	17	58	0	0
"Yangu, cape cheasnut"	0	0	18	5	45	30	1	0
